insured_sex,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,fraud_reported,age_group,months_as_customer_groups,policy_annual_premium_groups
FEMALE,-51900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,23,3,2,2,53190,N,31-35,0-50,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Major Damage,Other,10,1,2,3,58300,Y,56-60,451-500,high
MALE,-50300,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,12,3,1,2,64620,N,36-40,201-250,medium
MALE,-62400,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,15,3,2,0,90480,Y,51-55,351-400,medium
FEMALE,0,Vehicle Theft,?,Trivial Damage,None,3,1,1,0,7080,Y,46-50,301-350,medium
MALE,-68900,Parked Car,?,Minor Damage,Police,19,1,2,2,6490,Y,41-45,251-300,high
FEMALE,-60600,Multi-vehicle Collision,Side Collision,Total Loss,Police,16,3,1,1,55900,N,36-40,151-200,medium
MALE,-67800,Single Vehicle Collision,Rear Collision,Major Damage,Other,16,1,0,3,63800,Y,26-30,51-100,high
MALE,0,Single Vehicle Collision,Side Collision,Total Loss,Police,10,1,0,1,58160,Y,56-60,351-400,high
MALE,0,Vehicle Theft,?,Minor Damage,Police,6,1,1,2,6300,Y,51-55,401-450,low
MALE,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,18,1,2,1,104610,Y,46-50,301-350,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,20,3,0,2,69850,N,41-45,251-300,medium
FEMALE,-41200,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,14,1,0,0,62900,Y,21-25,0-50,medium
MALE,-35500,Multi-vehicle Collision,Front Collision,Major Damage,Other,8,3,0,3,59670,Y,26-30,101-150,low
MALE,-49200,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,17,2,2,0,81500,Y,36-40,201-250,medium
MALE,-40900,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,9,1,2,0,50000,Y,56-60,451-500,medium
MALE,-31700,Single Vehicle Collision,Front Collision,Total Loss,Other,0,1,2,1,48290,N,26-30,51-100,medium
MALE,-76000,Single Vehicle Collision,Rear Collision,Total Loss,Fire,2,1,0,0,59070,Y,26-30,101-150,high
FEMALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,0,0,63300,Y,21-25,51-100,medium
MALE,0,Single Vehicle Collision,Side Collision,Total Loss,Other,8,1,0,3,65780,N,46-50,301-350,high
MALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,6,3,0,2,75400,Y,26-30,0-50,medium
MALE,-30400,Vehicle Theft,?,Minor Damage,None,3,1,1,1,2250,N,31-35,151-200,high
FEMALE,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,14,3,1,3,54120,N,36-40,0-50,medium
MALE,-71700,Multi-vehicle Collision,Side Collision,Major Damage,Other,16,3,0,2,69480,N,46-50,301-350,low
FEMALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,12,1,1,2,66950,N,41-45,201-250,medium
FEMALE,-56200,Multi-vehicle Collision,Rear Collision,Major Damage,Other,1,3,2,3,64100,Y,46-50,351-400,medium
MALE,-49400,Single Vehicle Collision,Rear Collision,Minor Damage,Other,19,1,0,3,80280,N,46-50,251-300,low
MALE,-39100,Vehicle Theft,?,Trivial Damage,Police,7,1,1,2,4680,N,41-45,301-350,medium
MALE,-41100,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,6,4,1,1,39720,N,31-35,0-50,medium
MALE,-46900,Single Vehicle Collision,Front Collision,Major Damage,Police,11,1,0,0,63580,Y,56-60,401-450,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,2,1,1,1,73370,N,46-50,301-350,high
FEMALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,15,1,2,3,86790,N,26-30,0-50,low
MALE,-53700,Single Vehicle Collision,Side Collision,Major Damage,Police,0,1,0,2,49800,N,36-40,0-50,low
FEMALE,-37500,Single Vehicle Collision,Side Collision,Major Damage,Other,12,1,1,1,77440,N,36-40,201-250,medium
FEMALE,-42700,Single Vehicle Collision,Front Collision,Total Loss,Other,1,1,1,0,42900,Y,46-50,301-350,medium
FEMALE,-53800,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,16,2,1,0,53820,Y,26-30,51-100,medium
MALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,2,1,2,1,57330,N,46-50,301-350,low
FEMALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,13,3,2,1,53370,N,21-25,0-50,medium
MALE,-68100,Single Vehicle Collision,Front Collision,Minor Damage,Police,0,1,2,2,62920,N,26-30,51-100,medium
FEMALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,0,3,0,1,61600,N,21-25,51-100,medium
MALE,-58400,Multi-vehicle Collision,Rear Collision,Total Loss,Police,16,3,2,0,74160,Y,26-30,101-150,low
MALE,-52900,Single Vehicle Collision,Rear Collision,Total Loss,Police,8,1,2,0,80100,Y,36-40,201-250,medium
FEMALE,-46200,Parked Car,?,Trivial Damage,Police,9,1,2,3,6560,N,46-50,251-300,medium
MALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,1,2,1,58800,N,31-35,201-250,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,0,2,53730,Y,36-40,151-200,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,18,1,0,0,60600,Y,56-60,451-500,medium
FEMALE,-42400,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,0,3,35750,N,46-50,251-300,medium
FEMALE,-42500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,17,1,1,2,42840,N,26-30,51-100,medium
MALE,-51200,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,3,1,0,87960,Y,36-40,201-250,medium
MALE,-78600,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,0,3,1,0,47800,Y,41-45,201-250,high
FEMALE,-33000,Vehicle Theft,?,Trivial Damage,Police,9,1,0,1,3840,N,41-45,251-300,medium
MALE,-51600,Single Vehicle Collision,Front Collision,Total Loss,Fire,1,1,0,2,77000,N,41-45,251-300,high
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,22,1,1,3,88110,N,26-30,0-50,medium
MALE,-49500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,20,4,0,2,47740,N,41-45,201-250,medium
FEMALE,-77000,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,9,3,2,1,58960,N,26-30,51-100,low
FEMALE,-45800,Parked Car,?,Minor Damage,Police,5,1,1,2,2160,N,46-50,251-300,medium
FEMALE,0,Vehicle Theft,?,Trivial Damage,Police,12,1,1,1,6890,N,26-30,0-50,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,6,3,2,0,78870,Y,41-45,301-350,medium
FEMALE,0,Vehicle Theft,?,Trivial Damage,Police,8,1,1,1,2700,N,46-50,251-300,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,14,1,0,1,75960,N,51-55,351-400,medium
FEMALE,-58900,Single Vehicle Collision,Front Collision,Major Damage,Police,10,1,1,3,75570,Y,31-35,0-50,high
FEMALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,12,1,2,3,90240,N,46-50,351-400,high
FEMALE,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,12,1,0,0,80960,Y,51-55,351-400,medium
MALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,12,3,1,3,79080,N,36-40,151-200,high
MALE,-65300,Vehicle Theft,?,Minor Damage,None,13,1,0,3,6820,N,46-50,351-400,high
FEMALE,-49200,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,17,3,1,2,62590,N,41-45,251-300,medium
FEMALE,-71900,Single Vehicle Collision,Side Collision,Major Damage,Other,14,1,1,0,52400,Y,21-25,51-100,medium
MALE,-90600,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,1,3,63580,N,46-50,251-300,medium
FEMALE,-56200,Multi-vehicle Collision,Side Collision,Minor Damage,Police,18,3,2,1,61400,N,51-55,451-500,medium
MALE,0,Parked Car,?,Minor Damage,None,5,1,1,3,4700,Y,61-65,451-500,medium
FEMALE,-39400,Single Vehicle Collision,Front Collision,Total Loss,Fire,19,1,0,2,74140,N,41-45,201-250,medium
FEMALE,-72400,Single Vehicle Collision,Front Collision,Major Damage,Other,0,1,2,2,83160,N,26-30,101-150,medium
FEMALE,-6300,Parked Car,?,Trivial Damage,Police,22,1,0,2,10790,N,41-45,201-250,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,21,3,1,3,48070,N,31-35,51-100,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,4,3,0,0,51030,Y,21-25,0-50,medium
MALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,10,1,0,1,43280,Y,36-40,251-300,high
FEMALE,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,5,1,1,3,76400,N,26-30,101-150,low
MALE,0,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,13,1,0,2,75460,N,41-45,201-250,medium
MALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,18,3,2,1,69000,Y,46-50,301-350,medium
MALE,0,Vehicle Theft,?,Minor Damage,Police,6,1,1,2,8640,N,36-40,201-250,low
MALE,-53000,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,0,3,2,1,67210,N,26-30,101-150,medium
MALE,-55600,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,5,3,0,3,42500,N,36-40,151-200,medium
MALE,-34600,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,8,1,0,1,86400,N,51-55,351-400,medium
MALE,-32900,Vehicle Theft,?,Minor Damage,Police,5,1,2,2,4620,Y,51-55,351-400,high
FEMALE,0,Parked Car,?,Trivial Damage,Police,9,1,2,2,6930,N,51-55,401-450,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,10,3,1,2,41700,N,36-40,201-250,medium
MALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Other,16,1,2,1,77330,Y,51-55,351-400,medium
MALE,0,Vehicle Theft,?,Trivial Damage,Police,8,1,2,3,4950,N,31-35,151-200,medium
MALE,-36500,Vehicle Theft,?,Minor Damage,Police,5,1,0,2,5160,N,26-30,51-100,high
FEMALE,-19500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,11,3,2,1,24570,Y,31-35,201-250,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,15,3,1,0,53680,Y,36-40,201-250,medium
MALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,1,1,42900,N,46-50,301-350,medium
MALE,-42800,Single Vehicle Collision,Front Collision,Minor Damage,Fire,23,1,0,0,84100,Y,41-45,251-300,low
FEMALE,-55800,Single Vehicle Collision,Front Collision,Total Loss,Fire,23,1,1,3,61560,N,26-30,0-50,medium
FEMALE,-31700,Single Vehicle Collision,Rear Collision,Minor Damage,Police,10,1,0,0,44240,Y,36-40,251-300,medium
FEMALE,-49000,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,12,4,2,3,57700,N,31-35,151-200,medium
FEMALE,-66800,Single Vehicle Collision,Side Collision,Minor Damage,Other,4,1,2,2,108030,N,46-50,401-450,medium
FEMALE,-65700,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,1,2,0,54300,Y,26-30,101-150,medium
MALE,-81000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,18,3,1,2,32280,Y,51-55,351-400,medium
MALE,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,1,1,84600,N,41-45,301-350,high
MALE,-49900,Single Vehicle Collision,Front Collision,Total Loss,Other,8,1,1,3,69700,N,31-35,151-200,low
MALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,4,3,0,1,36400,N,31-35,151-200,high
FEMALE,-54900,Multi-vehicle Collision,Side Collision,Minor Damage,Police,20,3,0,2,37520,N,36-40,251-300,medium
FEMALE,-47700,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,1,3,2,3,79090,N,31-35,101-150,medium
MALE,-79600,Single Vehicle Collision,Rear Collision,Major Damage,Other,19,1,0,2,67770,Y,51-55,401-450,medium
MALE,0,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,1,0,47400,Y,31-35,101-150,high
MALE,-56900,Single Vehicle Collision,Front Collision,Total Loss,Other,13,1,0,2,71100,N,36-40,151-200,medium
MALE,-75100,Single Vehicle Collision,Front Collision,Minor Damage,Police,2,1,2,2,69400,N,46-50,251-300,high
MALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,9,3,2,1,55000,Y,36-40,201-250,high
MALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,15,2,1,3,51090,N,51-55,401-450,low
MALE,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,23,1,2,3,64200,Y,31-35,51-100,medium
MALE,-40200,Single Vehicle Collision,Front Collision,Total Loss,Other,16,1,2,0,67320,Y,41-45,251-300,medium
MALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,21,4,2,0,76120,Y,31-35,101-150,medium
FEMALE,-38500,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,21,2,2,1,85020,N,26-30,101-150,medium
MALE,-57000,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,3,3,0,1,68090,N,41-45,251-300,medium
FEMALE,0,Parked Car,?,Trivial Damage,Police,4,1,1,2,6030,N,26-30,101-150,high
MALE,-55800,Vehicle Theft,?,Minor Damage,None,17,1,1,3,5100,N,31-35,151-200,medium
MALE,0,Vehicle Theft,?,Trivial Damage,Police,7,1,1,3,4590,N,26-30,151-200,high
FEMALE,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,14,2,1,2,72400,Y,56-60,451-500,low
MALE,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,13,1,2,3,70900,N,61-65,451-500,low
FEMALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,2,2,3,65100,N,21-25,51-100,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,23,3,2,1,64260,N,36-40,201-250,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,16,1,2,1,79970,Y,41-45,0-50,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,17,1,2,0,56610,Y,41-45,251-300,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,9,1,1,1,84590,Y,26-30,151-200,medium
MALE,-43800,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,3,2,1,66780,N,36-40,151-200,high
MALE,-28800,Single Vehicle Collision,Rear Collision,Major Damage,Police,13,1,1,2,58500,N,36-40,51-100,high
FEMALE,-62500,Parked Car,?,Trivial Damage,Police,3,1,2,0,5000,Y,41-45,251-300,medium
FEMALE,0,Parked Car,?,Trivial Damage,Police,3,1,2,1,5000,Y,26-30,0-50,low
FEMALE,-70300,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,16,3,1,3,54450,N,41-45,251-300,medium
FEMALE,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,12,3,1,3,61920,N,36-40,201-250,medium
MALE,-61400,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,4,1,1,2,43700,Y,26-30,51-100,medium
MALE,-26400,Single Vehicle Collision,Front Collision,Minor Damage,Other,3,1,2,0,64080,Y,31-35,101-150,low
MALE,-31400,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,2,1,55000,Y,31-35,0-50,medium
FEMALE,0,Vehicle Theft,?,Trivial Damage,Police,19,1,2,3,4400,N,26-30,51-100,medium
MALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,15,2,0,1,71640,N,26-30,51-100,medium
MALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,6,1,1,0,61740,Y,41-45,251-300,medium
FEMALE,-66200,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,3,1,0,3,57500,N,26-30,101-150,high
FEMALE,-63900,Parked Car,?,Minor Damage,Police,17,1,0,0,8700,Y,36-40,201-250,medium
FEMALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,4,4,2,1,77100,N,46-50,251-300,high
MALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,14,1,2,0,59400,Y,56-60,451-500,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,3,3,1,0,54890,Y,46-50,301-350,low
MALE,-59700,Multi-vehicle Collision,Front Collision,Minor Damage,Other,4,3,2,1,74030,N,26-30,101-150,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,13,1,1,2,61490,N,41-45,51-100,medium
MALE,-90100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,23,3,0,2,79560,N,26-30,51-100,medium
MALE,-65200,Parked Car,?,Minor Damage,Police,3,1,0,1,4900,N,31-35,101-150,medium
MALE,-61400,Multi-vehicle Collision,Side Collision,Total Loss,Other,0,3,1,0,77770,Y,31-35,151-200,low
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,14,2,2,2,74700,Y,41-45,251-300,low
MALE,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,14,2,2,2,40600,N,26-30,101-150,medium
MALE,-32600,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,22,1,1,0,45270,Y,26-30,101-150,low
FEMALE,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,17,3,0,3,47080,N,36-40,201-250,low
FEMALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,14,1,0,0,40700,Y,56-60,451-500,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,2,1,2,1,34650,N,26-30,51-100,medium
MALE,0,Parked Car,?,Trivial Damage,Police,4,1,2,0,3200,Y,26-30,0-50,medium
MALE,-74200,Single Vehicle Collision,Rear Collision,Major Damage,Fire,2,1,1,1,78980,Y,41-45,201-250,medium
MALE,0,Parked Car,?,Minor Damage,None,10,1,1,0,6160,Y,31-35,101-150,medium
FEMALE,-67800,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,11,1,1,1,85250,N,56-60,401-450,high
MALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,1,4,1,2,72840,N,46-50,301-350,low
MALE,0,Parked Car,?,Trivial Damage,Police,20,1,0,2,6050,N,36-40,201-250,medium
FEMALE,-37000,Single Vehicle Collision,Front Collision,Major Damage,Fire,10,1,2,3,87890,Y,36-40,201-250,low
FEMALE,-56400,Multi-vehicle Collision,Side Collision,Total Loss,Other,20,2,0,2,60500,Y,46-50,301-350,medium
FEMALE,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,10,3,2,1,88220,N,31-35,101-150,medium
FEMALE,-48400,Multi-vehicle Collision,Rear Collision,Total Loss,Other,2,2,1,2,53680,N,36-40,151-200,medium
MALE,-54600,Single Vehicle Collision,Front Collision,Minor Damage,Fire,19,1,0,2,53800,N,41-45,251-300,medium
FEMALE,-48500,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,1,1,2,54360,Y,26-30,101-150,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Major Damage,Police,14,1,0,3,54340,N,31-35,151-200,medium
FEMALE,-42900,Parked Car,?,Trivial Damage,None,5,1,0,2,2860,Y,31-35,101-150,high
MALE,0,Vehicle Theft,?,Minor Damage,Police,8,1,2,1,5490,N,26-30,101-150,high
MALE,0,Vehicle Theft,?,Trivial Damage,Police,4,1,0,2,7370,N,41-45,301-350,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,4,3,1,0,50800,Y,31-35,0-50,medium
MALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,20,2,1,1,41520,N,46-50,301-350,medium
FEMALE,-78300,Single Vehicle Collision,Side Collision,Total Loss,Police,18,1,2,3,89650,N,36-40,151-200,medium
FEMALE,-71500,Multi-vehicle Collision,Rear Collision,Total Loss,Police,0,3,0,3,39690,N,51-55,351-400,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,1,1,2,0,62260,Y,31-35,101-150,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Major Damage,Police,17,1,0,1,51920,Y,36-40,151-200,high
MALE,-74400,Single Vehicle Collision,Front Collision,Minor Damage,Other,23,1,2,2,53460,N,36-40,251-300,medium
FEMALE,-71200,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,4,3,2,1,57100,N,41-45,251-300,medium
MALE,-57600,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,0,3,2,3,77440,N,36-40,151-200,high
MALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,11,1,1,2,68300,N,36-40,201-250,medium
MALE,-53700,Parked Car,?,Trivial Damage,None,4,1,0,2,5060,N,31-35,101-150,medium
MALE,-66200,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,0,3,0,2,59400,Y,31-35,0-50,low
FEMALE,-28300,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,2,3,0,2,69930,Y,31-35,101-150,medium
FEMALE,-74800,Multi-vehicle Collision,Front Collision,Minor Damage,Police,11,3,1,1,77700,N,26-30,101-150,high
MALE,-44000,Multi-vehicle Collision,Front Collision,Major Damage,Other,23,3,2,1,68750,Y,51-55,351-400,low
FEMALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,17,3,1,3,91080,N,26-30,101-150,medium
FEMALE,-54700,Single Vehicle Collision,Side Collision,Minor Damage,Other,22,1,1,3,48360,N,15-20,0-50,medium
MALE,-55100,Single Vehicle Collision,Side Collision,Major Damage,Other,18,1,1,1,95000,N,31-35,201-250,high
MALE,0,Vehicle Theft,?,Trivial Damage,Police,8,1,1,3,3900,N,31-35,101-150,medium
MALE,-33300,Multi-vehicle Collision,Front Collision,Minor Damage,Other,15,3,0,3,59400,Y,36-40,251-300,medium
FEMALE,-61500,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,20,1,2,0,60210,Y,41-45,301-350,low
MALE,-30400,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,4,1,0,3,43600,N,31-35,101-150,low
MALE,-64900,Multi-vehicle Collision,Front Collision,Total Loss,Police,10,3,0,0,62800,Y,56-60,451-500,medium
MALE,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,10,1,1,3,59500,N,46-50,301-350,high
FEMALE,-33800,Multi-vehicle Collision,Front Collision,Total Loss,Police,22,3,1,0,53460,Y,36-40,201-250,medium
FEMALE,-42000,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,15,3,0,1,41690,N,31-35,151-200,medium
FEMALE,-51000,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,13,1,0,1,63100,N,46-50,301-350,medium
MALE,-43300,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,23,1,2,1,62880,Y,56-60,451-500,medium
FEMALE,-38700,Multi-vehicle Collision,Side Collision,Major Damage,Fire,18,3,2,2,75400,Y,51-55,351-400,low
MALE,-49300,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,7,1,1,1,46200,N,36-40,201-250,high
MALE,-39800,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,21,1,2,2,58500,N,46-50,251-300,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,15,3,1,3,66240,N,56-60,451-500,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,17,3,1,3,65440,N,36-40,201-250,medium
MALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,2,1,0,3,64200,N,41-45,251-300,high
FEMALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,1,3,1,0,32320,Y,21-25,51-100,low
FEMALE,-18600,Single Vehicle Collision,Rear Collision,Major Damage,Police,3,1,0,1,33480,N,26-30,51-100,high
MALE,0,Vehicle Theft,?,Trivial Damage,None,0,1,1,1,4320,N,36-40,0-50,high
MALE,-77800,Vehicle Theft,?,Trivial Damage,Police,4,1,0,2,4200,N,26-30,0-50,medium
MALE,-45700,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,11,3,2,0,57970,Y,26-30,0-50,medium
MALE,-40400,Parked Car,?,Trivial Damage,None,4,1,1,2,4320,N,31-35,101-150,medium
FEMALE,-61400,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,11,3,0,2,69300,N,41-45,251-300,low
FEMALE,-93600,Multi-vehicle Collision,Side Collision,Minor Damage,Police,4,3,2,2,32480,N,26-30,151-200,medium
MALE,-64500,Single Vehicle Collision,Front Collision,Total Loss,Police,20,1,2,2,60480,N,36-40,201-250,medium
MALE,0,Parked Car,?,Trivial Damage,Police,22,1,0,0,2640,Y,36-40,0-50,low
MALE,-66500,Parked Car,?,Trivial Damage,Police,4,1,0,3,6050,N,26-30,51-100,medium
MALE,-44800,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,4,0,0,42700,Y,41-45,201-250,high
MALE,-53300,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,20,1,1,3,40260,Y,46-50,301-350,high
MALE,-47200,Single Vehicle Collision,Rear Collision,Major Damage,Fire,7,1,2,0,50000,Y,46-50,301-350,medium
FEMALE,0,Parked Car,?,Trivial Damage,None,4,1,0,1,3840,N,31-35,151-200,medium
MALE,-51300,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,17,3,0,2,95900,N,41-45,201-250,medium
MALE,-61400,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,20,3,1,3,56160,N,46-50,301-350,medium
MALE,-36300,Single Vehicle Collision,Side Collision,Major Damage,Police,10,1,2,3,63030,N,41-45,0-50,medium
FEMALE,-48000,Single Vehicle Collision,Front Collision,Minor Damage,Police,8,1,2,2,63470,N,41-45,251-300,high
FEMALE,-53100,Single Vehicle Collision,Front Collision,Major Damage,Police,6,1,0,2,44440,Y,36-40,201-250,medium
MALE,-67400,Parked Car,?,Minor Damage,Police,4,1,1,1,6600,N,31-35,101-150,high
MALE,-44500,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,17,3,2,0,77200,Y,36-40,101-150,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,0,0,57000,Y,26-30,51-100,low
FEMALE,-72500,Vehicle Theft,?,Trivial Damage,Police,9,1,2,1,2700,N,41-45,301-350,medium
MALE,-50600,Single Vehicle Collision,Rear Collision,Total Loss,Police,17,1,2,1,47300,N,36-40,151-200,high
FEMALE,-35900,Single Vehicle Collision,Rear Collision,Major Damage,Other,13,1,2,3,55110,N,36-40,151-200,medium
FEMALE,-55900,Vehicle Theft,?,Trivial Damage,Police,5,1,1,0,4320,Y,31-35,151-200,medium
FEMALE,-60300,Multi-vehicle Collision,Front Collision,Total Loss,Police,23,3,2,2,68760,Y,36-40,151-200,medium
FEMALE,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,1,2,2,1,74400,Y,31-35,51-100,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,17,4,2,1,35300,Y,31-35,151-200,low
MALE,-49400,Parked Car,?,Minor Damage,None,3,1,1,3,2640,N,56-60,401-450,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,17,3,1,1,60190,Y,41-45,251-300,low
